as_at_month,visa_type,eoi_status,eois
01/2025,189PTS Points-Tested Stream,INVITED,470
01/2025,189PTS Points-Tested Stream,HOLD,2003
01/2025,491FSR Family Sponsored - Regional,CLOSED,1882
01/2025,491FSR Family Sponsored - Regional,SUBMITTED,3512
01/2025,491FSR Family Sponsored - Regional,LODGED,78
01/2025,491FSR Family Sponsored - Regional,INVITED,19
01/2025,491FSR Family Sponsored - Regional,HOLD,26
01/2025,188BI Business Innovation,CLOSED,88
01/2025,188BI Business Innovation,LODGED,3
01/2025,188INV Investor,CLOSED,54
01/2025,188EV Entrepreneur,CLOSED,37
01/2025,188SIG Significant Investor,CLOSED,9
01/2025,132SBH Significant Business History,CLOSED,1
12/2024,190SAS Skilled Australian Sponsored,CLOSED,77843
12/2024,190SAS Skilled Australian Sponsored,SUBMITTED,177860
12/2024,190SAS Skilled Australian Sponsored,LODGED,8007
12/2024,190SAS Skilled Australian Sponsored,INVITED,4920
12/2024,190SAS Skilled Australian Sponsored,HOLD,2707
12/2024,491SNR State or Territory Nominated - Regional,CLOSED,63179
12/2024,491SNR State or Territory Nominated - Regional,SUBMITTED,186142
12/2024,491SNR State or Territory Nominated - Regional,LODGED,3831
12/2024,491SNR State or Territory Nominated - Regional,INVITED,2205
12/2024,491SNR State or Territory Nominated - Regional,HOLD,2364
12/2024,189PTS Points-Tested Stream,CLOSED,45561
12/2024,189PTS Points-Tested Stream,SUBMITTED,68594
12/2024,189PTS Points-Tested Stream,LODGED,9497
12/2024,189PTS Points-Tested Stream,INVITED,8234
12/2024,189PTS Points-Tested Stream,HOLD,1647
12/2024,491FSR Family Sponsored - Regional,CLOSED,1616
12/2024,491FSR Family Sponsored - Regional,SUBMITTED,3157
12/2024,491FSR Family Sponsored - Regional,LODGED,70
12/2024,491FSR Family Sponsored - Regional,INVITED,62
12/2024,491FSR Family Sponsored - Regional,HOLD,26
12/2024,188BI Business Innovation,CLOSED,84
12/2024,188BI Business Innovation,LODGED,2
12/2024,188INV Investor,CLOSED,47
12/2024,188EV Entrepreneur,CLOSED,34
12/2024,188EV Entrepreneur,INVITED,1
12/2024,188SIG Significant Investor,CLOSED,8
12/2024,132SBH Significant Business History,CLOSED,1
11/2024,190SAS Skilled Australian Sponsored,CLOSED,60493
11/2024,190SAS Skilled Australian Sponsored,SUBMITTED,157507
11/2024,190SAS Skilled Australian Sponsored,LODGED,6008
11/2024,190SAS Skilled Australian Sponsored,INVITED,5801
11/2024,190SAS Skilled Australian Sponsored,HOLD,2374
11/2024,491SNR State or Territory Nominated - Regional,CLOSED,52136
11/2024,491SNR State or Territory Nominated - Regional,SUBMITTED,164799
11/2024,491SNR State or Territory Nominated - Regional,LODGED,2708
11/2024,491SNR State or Territory Nominated - Regional,INVITED,2607
11/2024,491SNR State or Territory Nominated - Regional,HOLD,2095
11/2024,189PTS Points-Tested Stream,CLOSED,33373
11/2024,189PTS Points-Tested Stream,SUBMITTED,58936
11/2024,189PTS Points-Tested Stream,LODGED,7498
11/2024,189PTS Points-Tested Stream,INVITED,10403
11/2024,189PTS Points-Tested Stream,HOLD,1375
11/2024,491FSR Family Sponsored - Regional,CLOSED,1347
11/2024,491FSR Family Sponsored - Regional,SUBMITTED,2819
11/2024,491FSR Family Sponsored - Regional,LODGED,55
11/2024,491FSR Family Sponsored - Regional,INVITED,68
11/2024,491FSR Family Sponsored - Regional,HOLD,24
11/2024,188BI Business Innovation,CLOSED,64
11/2024,188BI Business Innovation,LODGED,2
11/2024,188INV Investor,CLOSED,37
11/2024,188EV Entrepreneur,CLOSED,27
11/2024,188EV Entrepreneur,INVITED,1
11/2024,188SIG Significant Investor,CLOSED,8
11/2024,132SBH Significant Business History,CLOSED,1
10/2024,190SAS Skilled Australian Sponsored,CLOSED,47452
10/2024,190SAS Skilled Australian Sponsored,SUBMITTED,136295
10/2024,190SAS Skilled Australian Sponsored,LODGED,3154
10/2024,190SAS Skilled Australian Sponsored,INVITED,3334
10/2024,190SAS Skilled Australian Sponsored,HOLD,1623
10/2024,491SNR State or Territory Nominated - Regional,CLOSED,41903
10/2024,491SNR State or Territory Nominated - Regional,SUBMITTED,141009
10/2024,491SNR State or Territory Nominated - Regional,LODGED,1471
10/2024,491SNR State or Territory Nominated - Regional,INVITED,1487
10/2024,491SNR State or Territory Nominated - Regional,HOLD,1537
10/2024,189PTS Points-Tested Stream,CLOSED,24600
10/2024,189PTS Points-Tested Stream,SUBMITTED,52317
10/2024,189PTS Points-Tested Stream,LODGED,3198
10/2024,189PTS Points-Tested Stream,INVITED,4963
10/2024,189PTS Points-Tested Stream,HOLD,968
10/2024,491FSR Family Sponsored - Regional,CLOSED,1102
10/2024,491FSR Family Sponsored - Regional,SUBMITTED,2358
10/2024,491FSR Family Sponsored - Regional,LODGED,24
10/2024,491FSR Family Sponsored - Regional,INVITED,40
10/2024,491FSR Family Sponsored - Regional,HOLD,20
10/2024,188BI Business Innovation,CLOSED,50
10/2024,188BI Business Innovation,LODGED,2
10/2024,188BI Business Innovation,INVITED,1
10/2024,188INV Investor,CLOSED,28
10/2024,188INV Investor,INVITED,1
10/2024,188EV Entrepreneur,CLOSED,16
10/2024,188EV Entrepreneur,INVITED,5
10/2024,188SIG Significant Investor,CLOSED,4
09/2024,190SAS Skilled Australian Sponsored,CLOSED,36250
09/2024,190SAS Skilled Australian Sponsored,SUBMITTED,105867
09/2024,190SAS Skilled Australian Sponsored,LODGED,1943
09/2024,190SAS Skilled Australian Sponsored,INVITED,3426
09/2024,190SAS Skilled Australian Sponsored,HOLD,1321
09/2024,491SNR State or Territory Nominated - Regional,CLOSED,33444
09/2024,491SNR State or Territory Nominated - Regional,SUBMITTED,109655
09/2024,491SNR State or Territory Nominated - Regional,LODGED,832
09/2024,491SNR State or Territory Nominated - Regional,INVITED,1324
09/2024,491SNR State or Territory Nominated - Regional,HOLD,1204
09/2024,189PTS Points-Tested Stream,CLOSED,16896
09/2024,189PTS Points-Tested Stream,SUBMITTED,39891
09/2024,189PTS Points-Tested Stream,LODGED,2413
09/2024,189PTS Points-Tested Stream,INVITED,5963
09/2024,189PTS Points-Tested Stream,HOLD,674
09/2024,491FSR Family Sponsored - Regional,CLOSED,784
09/2024,491FSR Family Sponsored - Regional,SUBMITTED,1873
09/2024,491FSR Family Sponsored - Regional,LODGED,10
09/2024,491FSR Family Sponsored - Regional,INVITED,43
09/2024,491FSR Family Sponsored - Regional,HOLD,14
09/2024,188BI Business Innovation,CLOSED,16
09/2024,188BI Business Innovation,LODGED,2
09/2024,188BI Business Innovation,INVITED,1
09/2024,188INV Investor,CLOSED,14
09/2024,188INV Investor,INVITED,1
09/2024,188EV Entrepreneur,CLOSED,13
09/2024,188EV Entrepreneur,INVITED,5
09/2024,188SIG Significant Investor,CLOSED,3
08/2024,190SAS Skilled Australian Sponsored,CLOSED,20828
08/2024,190SAS Skilled Australian Sponsored,SUBMITTED,67265
08/2024,190SAS Skilled Australian Sponsored,LODGED,443
08/2024,190SAS Skilled Australian Sponsored,INVITED,296
08/2024,190SAS Skilled Australian Sponsored,HOLD,717
08/2024,491SNR State or Territory Nominated - Regional,CLOSED,18623
08/2024,491SNR State or Territory Nominated - Regional,SUBMITTED,67334
08/2024,491SNR State or Territory Nominated - Regional,LODGED,236
08/2024,491SNR State or Territory Nominated - Regional,INVITED,201
08/2024,491SNR State or Territory Nominated - Regional,HOLD,656
08/2024,189PTS Points-Tested Stream,CLOSED,9784
08/2024,189PTS Points-Tested Stream,SUBMITTED,25846
08/2024,189PTS Points-Tested Stream,LODGED,401
08/2024,189PTS Points-Tested Stream,INVITED,80
08/2024,189PTS Points-Tested Stream,HOLD,409
08/2024,491FSR Family Sponsored - Regional,CLOSED,409
08/2024,491FSR Family Sponsored - Regional,SUBMITTED,1104
08/2024,491FSR Family Sponsored - Regional,LODGED,2
08/2024,491FSR Family Sponsored - Regional,INVITED,2
08/2024,491FSR Family Sponsored - Regional,HOLD,8
08/2024,188BI Business Innovation,CLOSED,11
08/2024,188BI Business Innovation,SUBMITTED,1
08/2024,188BI Business Innovation,LODGED,1
08/2024,188INV Investor,CLOSED,5
08/2024,188INV Investor,SUBMITTED,1
08/2024,188INV Investor,LODGED,1
08/2024,188EV Entrepreneur,CLOSED,7
08/2024,188EV Entrepreneur,SUBMITTED,4
08/2024,188SIG Significant Investor,CLOSED,1
-,190SAS Skilled Australian Sponsored,CLOSED,321
-,190SAS Skilled Australian Sponsored,SUBMITTED,385282
-,190SAS Skilled Australian Sponsored,LODGED,692
-,190SAS Skilled Australian Sponsored,INVITED,17856
-,190SAS Skilled Australian Sponsored,HOLD,2657
-,491SNR State or Territory Nominated - Regional,CLOSED,162
-,491SNR State or Territory Nominated - Regional,SUBMITTED,376778
-,491SNR State or Territory Nominated - Regional,LODGED,223
-,491SNR State or Territory Nominated - Regional,INVITED,8379
-,491SNR State or Territory Nominated - Regional,HOLD,2243
-,189PTS Points-Tested Stream,CLOSED,170
-,189PTS Points-Tested Stream,SUBMITTED,196797
-,189PTS Points-Tested Stream,LODGED,517
-,189PTS Points-Tested Stream,INVITED,17535
-,189PTS Points-Tested Stream,HOLD,1613
-,491FSR Family Sponsored - Regional,CLOSED,1
-,491FSR Family Sponsored - Regional,SUBMITTED,8142
-,491FSR Family Sponsored - Regional,LODGED,7
-,491FSR Family Sponsored - Regional,INVITED,158
-,491FSR Family Sponsored - Regional,HOLD,39
-,188BI Business Innovation,CLOSED,1
-,188BI Business Innovation,LODGED,2
-,188EV Entrepreneur,SUBMITTED,1
